id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-949617";"2019-12-30";"1";"Vente en l'état futur d'achèvement";"341254.0";"nan";"None";"ALL JEAN-FRANCOIS DENIAU";"1390";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0312";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"249.0";"2.292387";"48.604651";"000BD"
"2019-949547";"2019-12-30";"1";"Vente en l'état futur d'achèvement";"242000.0";"nan";"None";"LA FOURCHE";"B027";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0196";"None";"None";"32";"66.1";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.297302";"48.603918";"000BD"
"2019-949547";"2019-12-30";"1";"Vente en l'état futur d'achèvement";"242000.0";"nan";"None";"LA FOURCHE";"B027";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0196";"None";"None";"58";"12.4";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.297302";"48.603918";"000BD"
"2019-949547";"2019-12-30";"1";"Vente en l'état futur d'achèvement";"242000.0";"nan";"None";"LA FOURCHE";"B027";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0196";"None";"None";"70";"12.4";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.297302";"48.603918";"000BD"
"2019-949547";"2019-12-30";"1";"Vente en l'état futur d'achèvement";"242000.0";"nan";"None";"LA FOURCHE";"B027";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0196";"None";"None";"29";"66.2";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.297302";"48.603918";"000BD"
"2019-949548";"2019-12-30";"1";"Vente en l'état futur d'achèvement";"189000.0";"nan";"None";"LA FOURCHE";"B027";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0196";"None";"None";"76";"12.4";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.297302";"48.603918";"000BD"
"2019-949548";"2019-12-30";"1";"Vente en l'état futur d'achèvement";"189000.0";"nan";"None";"LA FOURCHE";"B027";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0196";"None";"None";"31";"42.7";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.297302";"48.603918";"000BD"
"2019-949549";"2019-12-30";"1";"Vente en l'état futur d'achèvement";"244000.0";"nan";"None";"LA FOURCHE";"B027";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0196";"None";"None";"57";"12.4";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.297302";"48.603918";"000BD"
"2019-949549";"2019-12-30";"1";"Vente en l'état futur d'achèvement";"244000.0";"nan";"None";"LA FOURCHE";"B027";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0196";"None";"None";"33";"66.2";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.297302";"48.603918";"000BD"
"2019-949565";"2019-12-30";"1";"Vente en l'état futur d'achèvement";"175500.0";"nan";"None";"LA FOURCHE";"B027";"91220";"91103";"Brétigny-sur-Orge";"91";"None";"None";"91103000BD0220";"None";"None";"26";"nan";"None";"nan";"None";"nan";"None";"nan";"None";"nan";"1";"None";"None";"nan";"nan";"None";"None";"None";"None";"nan";"2.293247";"48.605194";"000BD"
